iter	Passed	Remaining
0	158	158141
1	161	80778
2	163	54444
3	165	41291
4	167	33392
5	169	28153
6	175	24831
7	177	22068
8	180	19857
9	183	18135
10	186	16809
11	189	15622
12	193	14679
13	196	13813
14	197	12947
15	198	12238
16	199	11555
17	201	11007
18	204	10546
19	205	10092
20	207	9692
21	209	9317
22	210	8926
23	212	8621
24	213	8319
25	214	8019
26	215	7753
27	217	7534
28	218	7318
29	219	7104
30	220	6903
31	222	6730
32	223	6556
33	224	6391
34	225	6223
35	226	6069
36	227	5919
37	228	5775
38	229	5649
39	230	5532
40	232	5426
41	232	5304
42	233	5192
43	234	5089
44	235	4990
45	236	4895
46	236	4802
47	237	4713
48	238	4625
49	239	4542
50	239	4461
51	240	4382
52	241	4306
53	241	4233
54	242	4163
55	242	4095
56	243	4028
57	244	3963
58	244	3900
59	245	3842
60	245	3786
61	246	3729
62	246	3673
63	247	3619
64	248	3567
65	248	3516
66	249	3469
67	249	3423
68	250	3377
69	250	3331
70	251	3288
71	251	3245
72	252	3203
73	252	3163
74	253	3123
75	253	3085
76	254	3048
77	254	3011
78	255	2976
79	255	2941
80	256	2908
81	256	2875
82	257	2840
83	257	2808
84	258	2777
85	258	2748
86	259	2718
87	259	2692
88	260	2666
89	261	2639
90	261	2612
91	262	2586
92	262	2560
93	263	2536
94	263	2511
95	264	2487
96	264	2463
97	265	2440
98	265	2417
99	266	2394
100	266	2372
101	267	2351
102	267	2330
103	268	2309
104	268	2289
105	269	2269
106	269	2250
107	270	2231
108	270	2212
109	271	2193
110	271	2175
111	272	2157
112	272	2140
113	273	2122
114	273	2105
115	274	2088
116	274	2072
117	275	2057
118	275	2043
119	276	2028
120	277	2012
121	277	1997
122	278	1983
123	278	1969
124	279	1955
125	279	1941
126	280	1926
127	280	1913
128	281	1899
129	281	1886
130	282	1873
131	282	1860
132	283	1847
133	283	1834
134	284	1822
135	284	1809
136	285	1797
137	285	1785
138	286	1774
139	286	1762
140	287	1751
141	287	1738
142	288	1727
143	288	1716
144	289	1705
145	289	1695
146	290	1686
147	291	1677
148	291	1667
149	292	1657
150	292	1647
151	293	1637
152	293	1627
153	294	1617
154	295	1608
155	295	1599
156	296	1589
157	296	1580
158	297	1571
159	297	1562
160	297	1552
161	298	1543
162	298	1534
163	299	1526
164	299	1517
165	300	1509
166	300	1500
167	301	1492
168	301	1484
169	302	1476
170	302	1468
171	303	1460
172	303	1452
173	304	1445
174	305	1438
175	305	1431
176	306	1424
177	306	1416
178	307	1409
179	307	1402
180	308	1395
181	308	1388
182	309	1380
183	309	1374
184	310	1367
185	310	1360
186	311	1353
187	311	1346
188	312	1340
189	312	1333
190	313	1327
191	313	1320
192	314	1314
193	314	1308
194	315	1302
195	316	1296
196	316	1290
197	317	1284
198	317	1278
199	317	1271
200	318	1266
201	319	1260
202	319	1254
203	320	1249
204	320	1244
205	321	1238
206	321	1233
207	322	1227
208	322	1222
209	323	1216
210	323	1211
211	324	1205
212	324	1200
213	325	1195
214	325	1189
215	326	1184
216	326	1179
217	327	1173
218	327	1168
219	328	1163
220	328	1158
221	329	1153
222	329	1148
223	330	1143
224	330	1138
225	331	1133
226	331	1129
227	332	1124
228	332	1119
229	333	1114
230	333	1110
231	334	1106
232	334	1102
233	335	1098
234	336	1094
235	336	1089
236	337	1085
237	337	1080
238	338	1076
239	338	1071
240	338	1067
241	339	1063
242	339	1059
243	340	1054
244	340	1050
245	341	1046
246	341	1042
247	342	1038
248	342	1033
249	343	1029
250	343	1025
251	344	1021
252	344	1017
253	345	1013
254	345	1010
255	346	1006
256	346	1002
257	347	998
258	347	994
259	348	991
260	348	987
261	349	983
262	349	979
263	350	976
264	350	973
265	351	970
266	352	966
267	352	963
268	353	959
269	353	955
270	353	952
271	354	948
272	354	945
273	355	941
274	355	938
275	356	934
276	356	931
277	357	928
278	357	924
279	358	921
280	358	918
281	359	914
282	359	911
283	360	908
284	360	905
285	361	901
286	361	898
287	362	895
288	363	893
289	363	890
290	364	887
291	364	884
292	365	882
293	366	880
294	367	877
295	367	875
296	368	872
297	369	869
298	369	866
299	370	863
300	370	861
301	371	858
302	371	855
303	372	852
304	372	849
305	373	846
306	373	843
307	374	841
308	374	838
309	375	835
310	375	832
311	376	830
312	376	827
313	377	824
314	377	821
315	378	819
316	378	816
317	379	813
318	379	811
319	380	808
320	381	806
321	381	804
322	382	801
323	382	799
324	383	796
325	384	794
326	384	791
327	385	789
328	385	786
329	386	784
330	386	781
331	387	779
332	387	776
333	388	774
334	388	771
335	389	769
336	389	766
337	390	764
338	390	762
339	391	759
340	391	757
341	392	755
342	392	752
343	393	750
344	393	747
345	394	745
346	394	743
347	395	741
348	396	739
349	397	737
350	397	735
351	398	732
352	398	730
353	399	728
354	399	726
355	400	724
356	400	721
357	401	719
358	401	717
359	402	715
360	402	713
361	403	710
362	403	708
363	404	706
364	404	704
365	405	702
366	406	700
367	406	698
368	407	696
369	407	694
370	408	692
371	408	690
372	409	688
373	409	685
374	410	684
375	411	682
376	412	680
377	412	678
378	413	676
379	413	674
380	414	673
381	414	671
382	415	668
383	415	667
384	416	665
385	416	663
386	417	661
387	418	659
388	418	657
389	419	655
390	419	653
391	420	651
392	420	649
393	421	647
394	421	645
395	422	644
396	422	642
397	423	640
398	423	638
399	424	636
400	424	634
401	425	633
402	426	631
403	427	630
404	427	628
405	428	626
406	428	624
407	429	623
408	429	621
409	430	619
410	430	617
411	431	615
412	431	613
413	432	612
414	432	610
415	433	608
416	433	606
417	434	604
418	435	603
419	435	601
420	436	599
421	436	597
422	437	596
423	437	594
424	438	592
425	438	591
426	439	589
427	439	587
428	440	585
429	441	584
430	441	583
431	442	581
432	442	579
433	443	578
434	444	576
435	444	575
436	445	573
437	445	572
438	446	570
439	446	568
440	447	567
441	447	565
442	448	563
443	449	562
444	449	560
445	450	559
446	450	557
447	451	555
448	451	554
449	452	552
450	452	551
451	453	549
452	453	547
453	454	546
454	455	545
455	455	543
456	456	542
457	457	541
458	457	539
459	458	538
460	459	536
461	459	535
462	460	533
463	460	532
464	461	530
465	461	529
466	462	527
467	463	526
468	463	524
469	464	523
470	464	521
471	465	520
472	465	518
473	466	517
474	466	515
475	467	514
476	467	512
477	468	511
478	468	510
479	469	508
480	469	507
481	470	505
482	471	504
483	471	503
484	472	501
485	473	500
486	473	499
487	474	497
488	474	496
489	475	494
490	475	493
491	476	491
492	476	490
493	477	489
494	478	487
495	478	486
496	479	484
497	479	483
498	480	481
499	480	480
500	481	479
501	481	477
502	482	476
503	482	475
504	483	473
505	483	472
506	484	470
507	484	469
508	485	468
509	485	466
510	486	465
511	487	464
512	487	463
513	488	461
514	489	460
515	489	459
516	490	457
517	490	456
518	491	455
519	491	453
520	492	452
521	492	451
522	493	449
523	493	448
524	494	447
525	494	445
526	495	444
527	495	443
528	496	441
529	496	440
530	497	439
531	497	438
532	498	436
533	499	435
534	499	434
535	500	432
536	500	431
537	501	430
538	502	429
539	503	428
540	503	427
541	504	426
542	505	425
543	505	424
544	506	422
545	507	421
546	507	420
547	508	419
548	508	418
549	509	416
550	510	415
551	510	414
552	511	413
553	511	412
554	512	411
555	513	409
556	513	408
557	514	407
558	515	406
559	515	405
560	516	403
561	517	403
562	517	401
563	518	400
564	518	399
565	519	398
566	520	397
567	520	396
568	521	394
569	522	393
570	522	392
571	523	391
572	523	390
573	524	389
574	525	388
575	525	386
576	526	385
577	526	384
578	527	383
579	527	382
580	528	381
581	528	379
582	529	378
583	530	377
584	530	376
585	531	375
586	532	374
587	532	373
588	533	372
589	533	370
590	534	369
591	534	368
592	535	367
593	535	366
594	536	365
595	537	364
596	537	362
597	538	361
598	538	360
599	539	359
600	539	358
601	540	357
602	540	356
603	541	354
604	541	353
605	542	352
606	542	351
607	543	350
608	543	349
609	544	348
610	545	346
611	545	345
612	546	344
613	547	343
614	547	342
615	548	341
616	548	340
617	549	339
618	549	338
619	550	337
620	551	336
621	551	335
622	552	334
623	552	333
624	553	331
625	553	330
626	554	329
627	554	328
628	555	327
629	555	326
630	556	325
631	557	324
632	557	323
633	558	322
634	558	321
635	559	320
636	559	318
637	560	317
638	560	316
639	561	315
640	562	314
641	562	313
642	563	312
643	563	311
644	564	310
645	565	309
646	565	308
647	566	307
648	566	306
649	567	305
650	567	304
651	568	303
652	569	302
653	569	301
654	570	300
655	570	299
656	571	298
657	571	297
658	572	296
659	572	295
660	573	294
661	573	292
662	574	291
663	574	290
664	575	289
665	575	288
666	576	287
667	577	286
668	577	285
669	578	284
670	579	283
671	579	282
672	580	281
673	580	280
674	581	279
675	581	278
676	582	277
677	582	276
678	583	275
679	583	274
680	584	273
681	584	272
682	585	271
683	586	270
684	586	269
685	587	268
686	587	267
687	588	266
688	588	265
689	589	264
690	589	263
691	590	262
